nim,ipk,total_sks,program_akselerasi
2001010214,2.45,117,Tidak
2001010215,3.03,147,Tidak
2001010216,3.27,144,Tidak
2001010217,3.1,141,Tidak
2001010218,3.42,19,Tidak
2001010219,3.08,60,Tidak
2001010220,2.66,78,Tidak
2001010221,3.13,144,Tidak
2001010222,2.83,141,Tidak
2001010223,3.78,147,Ya
2001010224,3.32,141,Tidak
2101010001,3.62,132,Ya
2101010002,3.2,126,Tidak
2101010003,3.28,126,Tidak
2101010005,2.36,78,Tidak
2101010007,3.85,126,Ya
2101010009,3.56,129,Tidak
2101010011,3.35,129,Tidak
2101010012,3.17,121,Tidak
2101010013,0.87,31,Tidak
2101010014,3.22,123,Tidak
2101010016,3.84,127,Ya
2101010017,2.79,126,Tidak
2101010018,3.23,126,Tidak
2101010019,3.31,144,Tidak
2101010020,3.0,123,Tidak
2101010021,0.63,19,Tidak
2101010022,2.58,109,Tidak
2101010023,3.39,132,Tidak
2101010024,2.51,101,Tidak
2101010025,3.24,19,Tidak
2101010026,3.41,129,Tidak
2101010027,2.97,123,Tidak
2101010028,1.08,19,Tidak
2101010029,3.47,96,Tidak
2101010030,1.43,41,Tidak
2101010031,2.67,85,Tidak
2101010032,3.5,127,Tidak
2101010033,3.35,124,Tidak
2101010034,2.75,63,Tidak
2101010035,3.5,132,Tidak
2101010036,3.45,129,Tidak
2101010037,3.37,127,Tidak
2101010038,0.0,19,Tidak
2101010039,2.51,107,Tidak
2101010040,0.47,19,Tidak
2101010041,2.99,126,Tidak
2101010042,3.17,121,Tidak
2101010044,2.83,123,Tidak
2101010045,2.91,118,Tidak
2101010046,3.61,132,Ya
2101010047,1.47,92,Tidak
2101010048,3.33,121,Tidak
2101010049,3.16,121,Tidak
2101010050,3.68,129,Ya
2101010051,3.17,120,Tidak
2101010052,1.12,51,Tidak
2101010053,1.06,93,Tidak
2101010054,3.17,115,Tidak
2101010055,2.46,118,Tidak
2101010056,3.56,129,Tidak
2101010057,3.81,132,Ya
2101010058,3.49,127,Tidak
2101010059,3.38,127,Tidak
2101010060,3.62,129,Ya
2101010061,0.47,19,Tidak
2101010062,2.49,58,Tidak
2101010063,3.85,127,Ya
2101010064,2.76,110,Tidak
2101010065,3.94,129,Ya
2101010066,3.66,132,Ya
2101010067,2.51,91,Tidak
2101010068,3.9,132,Ya
2101010076,3.54,129,Tidak
2101010078,3.22,129,Tidak
2101010079,1.54,53,Tidak
2101010080,3.03,124,Tidak
2101010081,3.15,126,Tidak
2101010082,3.77,132,Ya
2101010083,2.83,141,Tidak
2101010084,1.9,31,Tidak
2101010085,3.35,129,Tidak
2101010086,2.68,117,Tidak
2101010087,3.71,132,Ya
2101010088,2.28,113,Tidak
2101010089,3.71,129,Ya
2101010090,3.13,122,Tidak
2101010091,3.35,129,Tidak
2101010092,3.28,130,Tidak
2101010093,2.83,120,Tidak
2101010094,3.58,129,Tidak
2101010095,3.95,129,Ya
2101010096,2.35,121,Tidak
2101010097,3.34,129,Tidak
2101010099,3.26,127,Tidak
2101010100,3.45,127,Tidak
2101010101,2.86,117,Tidak
2101010102,2.0,41,Tidak
2101010103,1.35,93,Tidak
2101010104,3.5,127,Tidak
2101010105,2.71,121,Tidak
2101010106,3.03,121,Tidak
2101010107,2.86,121,Tidak
2101010108,3.09,129,Tidak
2101010109,0.8,33,Tidak
2101010110,3.14,39,Tidak
2101010111,2.55,113,Tidak
2101010112,3.52,127,Tidak
